Date,risk_free_rate
2020-04-09,2.0277777777777776e-05
2020-04-13,2.111111111111111e-05
2020-04-14,2.111111111111111e-05
2020-04-15,1.75e-05
2020-04-16,1.6944444444444442e-05
2020-04-17,1.8055555555555558e-05
2020-04-20,1.75e-05
2020-04-21,1.611111111111111e-05
2020-04-22,1.75e-05
2020-04-23,1.6944444444444442e-05
2020-04-24,1.6666666666666667e-05
2020-04-27,1.861111111111111e-05
2020-04-28,1.722222222222222e-05
2020-04-29,1.75e-05
2020-04-30,1.777777777777778e-05
2020-05-01,1.777777777777778e-05
2020-05-04,1.777777777777778e-05
2020-05-05,1.8333333333333333e-05
2020-05-06,1.9999999999999998e-05
2020-05-07,1.75e-05
2020-05-08,1.9166666666666667e-05
2020-05-11,2.0277777777777776e-05
2020-05-12,1.9166666666666667e-05
2020-05-13,1.777777777777778e-05
2020-05-14,1.75e-05
2020-05-15,1.777777777777778e-05
2020-05-18,2.0277777777777776e-05
2020-05-19,1.9444444444444442e-05
2020-05-20,1.888888888888889e-05
2020-05-21,1.888888888888889e-05
2020-05-22,1.8333333333333333e-05
2020-05-26,1.9166666666666667e-05
2020-05-27,1.888888888888889e-05
2020-05-28,1.9444444444444442e-05
2020-05-29,1.8055555555555558e-05
2020-06-01,1.8333333333333333e-05
2020-06-02,1.888888888888889e-05
2020-06-03,2.138888888888889e-05
2020-06-04,2.2777777777777776e-05
2020-06-05,2.527777777777778e-05
2020-06-08,2.4444444444444445e-05
2020-06-09,2.3333333333333332e-05
2020-06-10,2.0833333333333333e-05
2020-06-11,1.8333333333333333e-05
2020-06-12,1.972222222222222e-05
2020-06-15,1.972222222222222e-05
2020-06-16,2.0833333333333333e-05
2020-06-17,2.0555555555555558e-05
2020-06-18,1.972222222222222e-05
2020-06-19,1.9444444444444442e-05
2020-06-22,1.972222222222222e-05
2020-06-23,1.9999999999999998e-05
2020-06-24,1.9166666666666667e-05
2020-06-25,1.888888888888889e-05
2020-06-26,1.777777777777778e-05
2020-06-29,1.777777777777778e-05
2020-06-30,1.8333333333333333e-05
2020-07-01,1.9166666666666667e-05
2020-07-02,1.888888888888889e-05
2020-07-06,1.9166666666666667e-05
2020-07-07,1.8055555555555558e-05
2020-07-08,1.861111111111111e-05
2020-07-09,1.722222222222222e-05
2020-07-10,1.8055555555555558e-05
2020-07-13,1.777777777777778e-05
2020-07-14,1.75e-05
2020-07-15,1.777777777777778e-05
2020-07-16,1.722222222222222e-05
2020-07-17,1.777777777777778e-05
2020-07-20,1.722222222222222e-05
2020-07-21,1.6944444444444442e-05
2020-07-22,1.6666666666666667e-05
2020-07-23,1.638888888888889e-05
2020-07-24,1.638888888888889e-05
2020-07-27,1.722222222222222e-05
2020-07-28,1.638888888888889e-05
2020-07-29,1.611111111111111e-05
2020-07-30,1.527777777777778e-05
2020-07-31,1.527777777777778e-05
2020-08-03,1.555555555555556e-05
2020-08-04,1.4444444444444444e-05
2020-08-05,1.527777777777778e-05
2020-08-06,1.527777777777778e-05
2020-08-07,1.5833333333333333e-05
2020-08-10,1.638888888888889e-05
2020-08-11,1.777777777777778e-05
2020-08-12,1.9166666666666667e-05
2020-08-13,1.972222222222222e-05
2020-08-14,1.972222222222222e-05
2020-08-17,1.9166666666666667e-05
2020-08-18,1.861111111111111e-05
2020-08-19,1.888888888888889e-05
2020-08-20,1.8055555555555558e-05
2020-08-21,1.777777777777778e-05
2020-08-24,1.8055555555555558e-05
2020-08-25,1.9166666666666667e-05
2020-08-26,1.9166666666666667e-05
2020-08-27,2.0555555555555558e-05
2020-08-28,2.0555555555555558e-05
2020-08-31,1.9999999999999998e-05
2020-09-01,1.888888888888889e-05
2020-09-02,1.8333333333333333e-05
2020-09-03,1.75e-05
2020-09-04,1.9999999999999998e-05
2020-09-08,1.9166666666666667e-05
2020-09-09,1.972222222222222e-05
2020-09-10,1.888888888888889e-05
2020-09-11,1.861111111111111e-05
2020-09-14,1.888888888888889e-05
2020-09-15,1.888888888888889e-05
2020-09-16,1.9166666666666667e-05
2020-09-17,1.9166666666666667e-05
2020-09-18,1.9444444444444442e-05
2020-09-21,1.888888888888889e-05
2020-09-22,1.888888888888889e-05
2020-09-23,1.888888888888889e-05
2020-09-24,1.861111111111111e-05
2020-09-25,1.8333333333333333e-05
2020-09-28,1.861111111111111e-05
2020-09-29,1.8333333333333333e-05
2020-09-30,1.9166666666666667e-05
2020-10-01,1.888888888888889e-05
2020-10-02,1.9444444444444442e-05
2020-10-05,2.1666666666666667e-05
2020-10-06,2.111111111111111e-05
2020-10-07,2.2500000000000005e-05
2020-10-08,2.1666666666666667e-05
2020-10-09,2.1944444444444445e-05
2020-10-13,2.0555555555555558e-05
2020-10-14,2.0277777777777776e-05
2020-10-15,2.0555555555555558e-05
2020-10-16,2.111111111111111e-05
2020-10-19,2.1666666666666667e-05
2020-10-20,2.2500000000000005e-05
2020-10-21,2.3055555555555554e-05
2020-10-22,2.4166666666666663e-05
2020-10-23,2.3611111111111114e-05
2020-10-26,2.2500000000000005e-05
2020-10-27,2.1944444444444445e-05
2020-10-28,2.1944444444444445e-05
2020-10-29,2.3611111111111114e-05
