,mkt_beta,smb_beta,hml_beta,wml_beta
LII,0.8659735261341561,0.29513971318310306,0.040008454685565964,-0.02479806620143458
LKQ,1.072170833796539,0.30028823593063925,0.5498599742793737,-0.09144616468015204
LLY,0.6934818965752159,-0.4028141295182091,-0.13049013642647656,0.1709640000555262
LMT,0.6086968133452815,-0.29725731950770107,0.32759550581691604,0.06316096083670236
LNT,0.5470029189031653,-0.3204664981661557,0.23053591770914778,-0.06485311074625837
LOW,1.0141083005883118,0.208702327462865,0.08769933783257794,0.027990022132087896
LUV,0.961127370185298,0.41745094117200987,0.5143647689639185,-0.26098251950643925
LVS,1.0621429160798326,0.33821511812363797,0.2054240296932181,-0.2723806948822268
LW,0.8319385458010498,0.15859716176101196,0.33134343688898416,-0.07602741847339069
LYV,1.1305112696076662,0.42752502224603683,0.23483587247473867,-0.23970293613289728
MA,1.133997862962384,-0.32014736869664207,0.027856376343061224,-0.03777659156332287
MAA,0.7586612922602681,-0.08461609826459203,0.1870897335871997,-0.0667013890427329
MAR,1.0550502342383101,0.29307259739163743,0.41666556850071884,-0.16269896507426762
MAS,0.963167190773712,0.3021906316370857,0.11651977497460135,-0.03377391499718507
MCD,0.6847833367595719,-0.23867126365883334,0.19116946322609574,0.07485487525051705
MCHP,1.4722389414259234,0.361438449607835,-0.15061951955699265,-0.015856334182992104
